cohort,id,task_id,M_P,M_T,M_X,M_F,n_records
UI-TARS,UI-TARS_rep0,ArXiv--17,0.0,0,0,0,11
UI-TARS,UI-TARS_rep1,ArXiv--17,0.0,0,0,0,11
UI-TARS,UI-TARS_rep0,ArXiv--17,0.0,0,0,0,11
UI-TARS,UI-TARS_rep1,ArXiv--17,0.0,0,0,0,11
UI-TARS,UI-TARS_rep0,ArXiv--17,0.0,0,0,0,11
UI-TARS,UI-TARS_rep1,ArXiv--17,0.0,0,0,0,11
UI-TARS,UI-TARS_rep0,ArXiv--17,0.0,0,0,0,11
UI-TARS,UI-TARS_rep1,ArXiv--17,0.0,0,0,0,11
UI-TARS,UI-TARS_rep0,Booking--3,231.0,32,1,2,534
UI-TARS,UI-TARS_rep1,Booking--3,150.0,34,1,2,378
UI-TARS,UI-TARS_rep0,ArXiv--17,0.0,0,0,0,11
UI-TARS,UI-TARS_rep1,ArXiv--17,0.0,0,0,0,11
UI-TARS,UI-TARS_rep0,Coursera--21,0.0,0,0,0,0
UI-TARS,UI-TARS_rep1,Coursera--21,332.0,30,1,0,419
UI-TARS,UI-TARS_rep0,GitHub--35,16.0,3,0,0,169
UI-TARS,UI-TARS_rep1,GitHub--35,13.0,2,0,0,154
UI-TARS,UI-TARS_rep0,Google Flights--34,0.0,0,0,0,1
UI-TARS,UI-TARS_rep1,Google Flights--34,21.0,10,0,0,63
UI-TARS,UI-TARS_rep0,Google Map--35,202.0,11,0,42,263
UI-TARS,UI-TARS_rep1,Google Map--35,212.0,11,0,42,274
UI-TARS,UI-TARS_rep0,Google Search--28,48.0,4,0,0,54
UI-TARS,UI-TARS_rep1,Google Search--28,42.0,4,0,0,48
UI-TARS,UI-TARS_rep0,Huggingface--14,20.0,8,1,5,111
UI-TARS,UI-TARS_rep1,Huggingface--14,18.0,8,1,3,107
SoM-GLM,SoM-GLM_rep0,Amazon--32,112.0,46,1,0,428
SoM-GLM,SoM-GLM_rep1,Amazon--32,130.0,53,1,0,448
SoM-GLM,SoM-GLM_rep0,Apple--29,46.0,2,1,0,46
SoM-GLM,SoM-GLM_rep1,Apple--29,46.0,2,1,0,46
SoM-GLM,SoM-GLM_rep0,ArXiv--17,0.0,0,0,0,11
SoM-GLM,SoM-GLM_rep1,ArXiv--17,0.0,0,0,0,11
SoM-GLM,SoM-GLM_rep0,Booking--3,119.0,41,1,0,328
SoM-GLM,SoM-GLM_rep1,Booking--3,118.0,41,1,0,300
SoM-GLM,SoM-GLM_rep0,Coursera--21,50.0,6,1,0,156
SoM-GLM,SoM-GLM_rep1,Coursera--21,110.0,28,1,0,249
SoM-GLM,SoM-GLM_rep0,GitHub--35,10.0,2,0,0,151
SoM-GLM,SoM-GLM_rep1,GitHub--35,10.0,2,0,0,151
SoM-GLM,SoM-GLM_rep0,Google Flights--34,20.0,10,0,0,62
SoM-GLM,SoM-GLM_rep1,Google Flights--34,21.0,10,0,0,63
SoM-GLM,SoM-GLM_rep0,Google Map--35,198.0,11,0,44,260
SoM-GLM,SoM-GLM_rep1,Google Map--35,220.0,11,0,44,282
SoM-GLM,SoM-GLM_rep0,Google Search--28,41.0,4,0,0,47
SoM-GLM,SoM-GLM_rep1,Google Search--28,40.0,4,0,0,46
SoM-GLM,SoM-GLM_rep0,Huggingface--14,17.0,8,1,3,105
SoM-GLM,SoM-GLM_rep1,Huggingface--14,17.0,8,1,3,105
SoM-GPT-5,SoM-GPT-5_rep0,Amazon--32,129.0,52,1,0,461
SoM-GPT-5,SoM-GPT-5_rep1,Amazon--32,139.0,52,1,0,498
SoM-GPT-5,SoM-GPT-5_rep0,Apple--29,247.0,2,2,0,245
SoM-GPT-5,SoM-GPT-5_rep1,Apple--29,178.0,2,2,0,176
SoM-GPT-5,SoM-GPT-5_rep0,ArXiv--17,0.0,0,0,0,11
SoM-GPT-5,SoM-GPT-5_rep1,ArXiv--17,0.0,0,0,0,11
SoM-GPT-5,SoM-GPT-5_rep0,Booking--3,213.0,40,1,0,510
SoM-GPT-5,SoM-GPT-5_rep1,Booking--3,327.0,44,3,0,741
SoM-GPT-5,SoM-GPT-5_rep0,Coursera--21,237.0,30,1,0,372
SoM-GPT-5,SoM-GPT-5_rep1,Coursera--21,1297.0,40,13,0,2054
SoM-GPT-5,SoM-GPT-5_rep0,GitHub--35,23.0,3,0,0,199
SoM-GPT-5,SoM-GPT-5_rep1,GitHub--35,19.0,3,0,0,197
SoM-GPT-5,SoM-GPT-5_rep0,Google Flights--34,40.0,11,0,0,172
SoM-GPT-5,SoM-GPT-5_rep1,Google Flights--34,37.0,10,0,0,94
SoM-GPT-5,SoM-GPT-5_rep0,Google Map--35,356.0,13,0,66,483
SoM-GPT-5,SoM-GPT-5_rep1,Google Map--35,397.0,14,3,23,480
SoM-GPT-5,SoM-GPT-5_rep0,Google Search--28,72.0,5,0,0,88
SoM-GPT-5,SoM-GPT-5_rep1,Google Search--28,59.0,5,0,0,74
SoM-GPT-5,SoM-GPT-5_rep1,Huggingface--14,4.0,8,1,3,106
SoM-GPT-5,SoM-GPT-5_rep0,Huggingface--14,6.0,8,1,3,100
