agent,task,condition,rep,target_etld1,records,unique_hosts,third_party_hosts,rq3_blocks_search,rq3_blocks_offdomain,rq3_blocks_cmp,task_success,duration_seconds,return_code
browser-use,ArXiv--31,C0,1,arxiv.org,40,12,10,0,0,0,success,33.5,0
browser-use,ArXiv--32,C0,1,arxiv.org,46,9,7,0,0,0,success,31.5,0
browser-use,ArXiv--33,C0,1,arxiv.org,43,12,10,0,0,0,success,41.0,0
browser-use,ArXiv--34,C0,1,arxiv.org,53,10,8,0,0,0,success,29.8,0
browser-use,ArXiv--35,C0,1,arxiv.org,53,7,5,0,0,0,success,18.5,0
browser-use,ArXiv--36,C0,1,arxiv.org,58,12,10,0,0,0,success,44.0,0
browser-use,ArXiv--37,C0,1,arxiv.org,556,23,20,0,0,0,success,38.8,0
browser-use,ArXiv--38,C0,1,arxiv.org,130,13,12,0,0,0,success,33.5,0
browser-use,ArXiv--39,C0,1,arxiv.org,653,21,18,0,0,0,success,77.5,0
browser-use,ArXiv--4,C0,1,arxiv.org,72,10,8,0,0,0,success,51.3,0
browser-use,ArXiv--40,C0,1,arxiv.org,45,9,7,0,0,0,success,22.5,0
browser-use,ArXiv--41,C0,1,arxiv.org,587,17,15,0,0,0,success,32.7,0
browser-use,ArXiv--42,C0,1,arxiv.org,606,16,15,0,0,0,success,70.1,0
browser-use,ArXiv--5,C0,1,arxiv.org,64,12,10,0,0,0,success,49.3,0
browser-use,ArXiv--6,C0,1,arxiv.org,314,36,34,0,0,0,success,67.1,0
browser-use,ArXiv--7,C0,1,arxiv.org,51,9,7,0,0,0,success,22.7,0
browser-use,ArXiv--8,C0,1,arxiv.org,110,19,14,0,0,0,success,36.5,0
browser-use,ArXiv--9,C0,1,arxiv.org,53,12,10,0,0,0,success,33.4,0
browser-use,BBC_News--0,C0,1,bbc.com,671,114,111,0,0,0,success,37.4,0
browser-use,BBC_News--1,C0,1,bbc.com,831,119,116,0,0,0,success,45.9,0
browser-use,BBC_News--10,C0,1,bbc.com,314,52,49,0,0,0,success,46.7,0
browser-use,BBC_News--11,C0,1,bbc.com,857,18,18,0,0,0,success,76.8,0
browser-use,BBC_News--12,C0,1,bbc.com,491,12,12,0,0,0,success,54.0,0
browser-use,BBC_News--13,C0,1,bbc.com,1194,70,70,0,0,0,success,68.5,0
browser-use,BBC_News--14,C0,1,bbc.com,845,64,61,0,0,0,success,64.7,0
browser-use,BBC_News--15,C0,1,bbc.com,1283,69,69,0,0,0,success,78.3,0
browser-use,BBC_News--16,C0,1,bbc.com,616,76,73,0,0,0,success,48.5,0
browser-use,BBC_News--17,C0,1,bbc.com,735,106,103,0,0,0,success,56.8,0
browser-use,BBC_News--18,C0,1,bbc.com,599,81,78,0,0,0,success,36.7,0
browser-use,BBC_News--19,C0,1,bbc.com,917,40,40,0,0,0,success,76.9,0
browser-use,BBC_News--2,C0,1,bbc.com,1064,29,29,0,0,0,success,70.7,0
browser-use,BBC_News--20,C0,1,bbc.com,837,103,100,0,0,0,success,42.1,0
browser-use,BBC_News--21,C0,1,bbc.com,615,92,89,0,0,0,success,35.6,0
browser-use,BBC_News--22,C0,1,bbc.com,632,112,109,0,0,0,success,34.9,0
browser-use,BBC_News--23,C0,1,bbc.com,735,108,105,0,0,0,success,38.1,0
browser-use,BBC_News--24,C0,1,bbc.com,691,127,124,0,0,0,success,43.8,0
browser-use,BBC_News--25,C0,1,bbc.com,681,102,99,0,0,0,success,34.5,0
browser-use,BBC_News--26,C0,1,bbc.com,851,63,60,0,0,0,success,36.7,0
browser-use,BBC_News--27,C0,1,bbc.com,522,109,106,0,0,0,success,46.5,0
browser-use,BBC_News--28,C0,1,bbc.com,876,116,113,0,0,0,success,53.0,0
browser-use,BBC_News--29,C0,1,bbc.com,722,130,127,0,0,0,success,37.3,0
browser-use,BBC_News--3,C0,1,bbc.com,1126,127,127,0,0,0,success,49.5,0
browser-use,BBC_News--30,C0,1,bbc.com,801,122,122,0,0,0,success,24.7,0
browser-use,BBC_News--31,C0,1,bbc.com,672,19,19,0,0,0,success,70.8,0
browser-use,BBC_News--32,C0,1,bbc.com,719,130,127,0,0,0,success,32.3,0
browser-use,BBC_News--33,C0,1,bbc.com,710,116,113,0,0,0,success,32.5,0
browser-use,BBC_News--34,C0,1,bbc.com,642,13,13,0,0,0,success,35.3,0
browser-use,BBC_News--35,C0,1,bbc.com,582,15,15,0,0,0,success,34.4,0
browser-use,BBC_News--36,C0,1,bbc.com,446,101,98,0,0,0,success,33.7,0
browser-use,BBC_News--37,C0,1,bbc.com,811,93,93,0,0,0,success,50.1,0
browser-use,BBC_News--38,C0,1,bbc.com,979,31,31,0,0,0,success,53.1,0
browser-use,BBC_News--39,C0,1,bbc.com,782,74,74,0,0,0,success,41.5,0
browser-use,BBC_News--4,C0,1,bbc.com,696,72,69,0,0,0,success,57.4,0
browser-use,BBC_News--40,C0,1,bbc.com,551,106,103,0,0,0,success,30.2,0
browser-use,BBC_News--41,C0,1,bbc.com,632,55,51,0,0,0,success,40.9,0
browser-use,BBC_News--5,C0,1,bbc.com,770,58,55,0,0,0,success,38.1,0
browser-use,BBC_News--6,C0,1,bbc.com,572,77,74,0,0,0,success,25.8,0
browser-use,BBC_News--7,C0,1,bbc.com,1135,208,208,0,0,0,success,39.1,0
browser-use,BBC_News--8,C0,1,bbc.com,728,78,75,0,0,0,success,52.8,0
