agent,task,condition,n_reps,success_rate,dominant_status,records_median,records_ci_lo,records_ci_hi,unique_hosts_median,unique_hosts_ci_lo,unique_hosts_ci_hi,third_party_hosts_median,third_party_hosts_ci_lo,third_party_hosts_ci_hi,rq3_blocks_search_median,rq3_blocks_search_ci_lo,rq3_blocks_search_ci_hi,rq3_blocks_offdomain_median,rq3_blocks_offdomain_ci_lo,rq3_blocks_offdomain_ci_hi,rq3_blocks_cmp_median,rq3_blocks_cmp_ci_lo,rq3_blocks_cmp_ci_hi,duration_seconds_median,duration_seconds_ci_lo,duration_seconds_ci_hi
browser-use,Allrecipes--27,C5,1,1.0,success,206,206,206,12,12,12,11,11,11,0,0,0,0,0,0,0,0,0,65.0,65.0,65.0
browser-use,Allrecipes--27,C7,1,1.0,success,793,793,793,119,119,119,116,116,116,0,0,0,24,24,24,0,0,0,43.7,43.7,43.7
browser-use,Allrecipes--27,C8,1,1.0,success,832,832,832,120,120,120,117,117,117,0,0,0,21,21,21,0,0,0,45.5,45.5,45.5
browser-use,Allrecipes--28,C0,1,1.0,success,884,884,884,132,132,132,129,129,129,0,0,0,0,0,0,0,0,0,36.9,36.9,36.9
browser-use,Allrecipes--28,C2,1,1.0,success,731,731,731,121,121,121,118,118,118,0,0,0,23,23,23,0,0,0,32.8,32.8,32.8
browser-use,Allrecipes--28,C5,1,1.0,success,158,158,158,12,12,12,11,11,11,0,0,0,0,0,0,0,0,0,60.6,60.6,60.6
browser-use,Allrecipes--28,C7,1,1.0,success,775,775,775,125,125,125,122,122,122,0,0,0,25,25,25,0,0,0,32.7,32.7,32.7
browser-use,Allrecipes--28,C8,1,1.0,success,845,845,845,121,121,121,118,118,118,1,1,1,22,22,22,0,0,0,33.1,33.1,33.1
browser-use,Allrecipes--29,C0,1,1.0,success,1347,1347,1347,130,130,130,127,127,127,0,0,0,0,0,0,0,0,0,45.6,45.6,45.6
browser-use,Allrecipes--29,C2,1,1.0,success,1462,1462,1462,128,128,128,125,125,125,0,0,0,55,55,55,0,0,0,48.5,48.5,48.5
browser-use,Allrecipes--29,C5,1,1.0,success,188,188,188,12,12,12,11,11,11,0,0,0,0,0,0,0,0,0,32.3,32.3,32.3
browser-use,Allrecipes--29,C7,1,1.0,success,1265,1265,1265,139,139,139,136,136,136,0,0,0,47,47,47,0,0,0,40.1,40.1,40.1
browser-use,Allrecipes--29,C8,1,1.0,success,1291,1291,1291,134,134,134,131,131,131,0,0,0,43,43,43,0,0,0,46.1,46.1,46.1
browser-use,Allrecipes--3,C0,1,1.0,success,654,654,654,109,109,109,106,106,106,0,0,0,0,0,0,0,0,0,41.7,41.7,41.7
browser-use,Allrecipes--3,C2,1,1.0,success,805,805,805,117,117,117,114,114,114,0,0,0,25,25,25,0,0,0,41.7,41.7,41.7
browser-use,Allrecipes--3,C5,1,1.0,success,122,122,122,12,12,12,11,11,11,0,0,0,0,0,0,0,0,0,51.5,51.5,51.5
browser-use,Allrecipes--3,C7,1,1.0,success,835,835,835,126,126,126,123,123,123,0,0,0,25,25,25,0,0,0,32.2,32.2,32.2
browser-use,Allrecipes--3,C8,1,1.0,success,781,781,781,126,126,126,123,123,123,0,0,0,26,26,26,0,0,0,30.7,30.7,30.7
browser-use,Allrecipes--30,C0,1,1.0,success,1584,1584,1584,128,128,128,125,125,125,0,0,0,0,0,0,0,0,0,45.0,45.0,45.0
browser-use,Allrecipes--30,C2,1,1.0,success,1014,1014,1014,106,106,106,103,103,103,0,0,0,43,43,43,0,0,0,37.2,37.2,37.2
browser-use,Allrecipes--30,C5,1,1.0,success,502,502,502,14,14,14,13,13,13,0,0,0,0,0,0,0,0,0,34.7,34.7,34.7
browser-use,Allrecipes--30,C7,1,1.0,success,1001,1001,1001,124,124,124,121,121,121,0,0,0,33,33,33,0,0,0,42.8,42.8,42.8
browser-use,Allrecipes--30,C8,1,1.0,success,1628,1628,1628,125,125,125,122,122,122,0,0,0,68,68,68,0,0,0,45.9,45.9,45.9
browser-use,Allrecipes--31,C0,1,1.0,success,630,630,630,105,105,105,102,102,102,0,0,0,0,0,0,0,0,0,40.6,40.6,40.6
browser-use,Allrecipes--31,C2,1,1.0,success,1239,1239,1239,140,140,140,137,137,137,0,0,0,40,40,40,0,0,0,46.9,46.9,46.9
browser-use,Allrecipes--31,C5,1,1.0,success,442,442,442,17,17,17,16,16,16,0,0,0,0,0,0,0,0,0,37.4,37.4,37.4
browser-use,Allrecipes--31,C7,1,1.0,success,1092,1092,1092,132,132,132,129,129,129,0,0,0,31,31,31,0,0,0,50.8,50.8,50.8
browser-use,Allrecipes--31,C8,1,1.0,success,1248,1248,1248,121,121,121,118,118,118,0,0,0,45,45,45,0,0,0,34.8,34.8,34.8
browser-use,Allrecipes--32,C0,1,1.0,success,809,809,809,123,123,123,120,120,120,0,0,0,0,0,0,0,0,0,26.7,26.7,26.7
browser-use,Allrecipes--32,C2,1,1.0,success,742,742,742,116,116,116,113,113,113,0,0,0,26,26,26,0,0,0,30.4,30.4,30.4
browser-use,Allrecipes--32,C5,1,1.0,success,153,153,153,12,12,12,11,11,11,0,0,0,0,0,0,0,0,0,52.3,52.3,52.3
browser-use,Allrecipes--32,C7,1,1.0,success,671,671,671,116,116,116,113,113,113,0,0,0,26,26,26,0,0,0,23.9,23.9,23.9
browser-use,Allrecipes--32,C8,1,1.0,success,676,676,676,117,117,117,114,114,114,0,0,0,20,20,20,0,0,0,19.7,19.7,19.7
browser-use,Allrecipes--33,C0,1,1.0,success,1050,1050,1050,131,131,131,128,128,128,0,0,0,0,0,0,0,0,0,45.6,45.6,45.6
browser-use,Allrecipes--33,C2,1,1.0,success,839,839,839,116,116,116,113,113,113,0,0,0,26,26,26,0,0,0,31.4,31.4,31.4
browser-use,Allrecipes--33,C5,1,1.0,success,553,553,553,16,16,16,15,15,15,0,0,0,0,0,0,0,0,0,66.8,66.8,66.8
browser-use,Allrecipes--33,C7,1,1.0,success,1099,1099,1099,140,140,140,137,137,137,0,0,0,32,32,32,0,0,0,37.5,37.5,37.5
browser-use,Allrecipes--33,C8,1,1.0,success,880,880,880,119,119,119,116,116,116,0,0,0,28,28,28,0,0,0,34.6,34.6,34.6
browser-use,Allrecipes--34,C0,1,1.0,success,773,773,773,116,116,116,113,113,113,0,0,0,0,0,0,0,0,0,22.0,22.0,22.0
browser-use,Allrecipes--34,C2,1,1.0,success,754,754,754,126,126,126,123,123,123,0,0,0,23,23,23,0,0,0,37.3,37.3,37.3
browser-use,Allrecipes--34,C5,1,1.0,success,181,181,181,10,10,10,9,9,9,0,0,0,0,0,0,0,0,0,32.4,32.4,32.4
browser-use,Allrecipes--34,C7,1,1.0,success,870,870,870,120,120,120,117,117,117,0,0,0,29,29,29,0,0,0,26.9,26.9,26.9
browser-use,Allrecipes--34,C8,1,1.0,success,803,803,803,123,123,123,120,120,120,0,0,0,25,25,25,0,0,0,34.1,34.1,34.1
browser-use,Allrecipes--35,C0,1,1.0,success,1290,1290,1290,179,179,179,176,176,176,0,0,0,0,0,0,0,0,0,33.3,33.3,33.3
browser-use,Allrecipes--35,C2,1,1.0,success,1233,1233,1233,129,129,129,126,126,126,0,0,0,44,44,44,0,0,0,42.9,42.9,42.9
browser-use,Allrecipes--35,C5,1,1.0,success,851,851,851,16,16,16,15,15,15,0,0,0,0,0,0,0,0,0,59.8,59.8,59.8
browser-use,Allrecipes--35,C7,1,1.0,success,902,902,902,124,124,124,121,121,121,0,0,0,29,29,29,0,0,0,25.0,25.0,25.0
browser-use,Allrecipes--35,C8,1,1.0,success,1037,1037,1037,137,137,137,134,134,134,0,0,0,33,33,33,0,0,0,30.4,30.4,30.4
browser-use,Allrecipes--36,C0,1,1.0,success,1169,1169,1169,136,136,136,133,133,133,0,0,0,0,0,0,0,0,0,30.6,30.6,30.6
browser-use,Allrecipes--36,C2,1,1.0,success,825,825,825,118,118,118,115,115,115,0,0,0,28,28,28,0,0,0,22.4,22.4,22.4
browser-use,Allrecipes--36,C5,1,1.0,success,526,526,526,15,15,15,14,14,14,0,0,0,0,0,0,0,0,0,59.7,59.7,59.7
browser-use,Allrecipes--36,C7,1,1.0,success,1144,1144,1144,123,123,123,120,120,120,0,0,0,43,43,43,0,0,0,33.4,33.4,33.4
browser-use,Allrecipes--36,C8,1,1.0,success,1049,1049,1049,127,127,127,124,124,124,0,0,0,35,35,35,0,0,0,39.0,39.0,39.0
